name,brand,category,colors,description,price,lastSale,releaseDate,url
Nike Dunk Low White/Black,Nike,sneakers,['White/Black'],"From the school-spirited College Colors Program to the vibrant Nike CO.JP collection, Nike Dunks have seen many colorways since the design’s inception in 1985. But with each new colorway, the Dunk’s classic color-blocking has remained in some capacity. Nike put its timeless color-blocking to work with the Nike Dunk Low Retro White Black.",$249.00 ,$286.00 ,2021-03-10,https://stockx.com/nike-dunk-low-retro-white-black-2021
Nike Dunk High White/Game Royal-Total Orange,Nike,sneakers,['White/Game Royal-Total Orange'],The Nike Dunk High Game Royal pays homage to the original 1985 University of Kentucky colorway of the Nike Dunk. It features a white leather upper with Game Royal overlays and Swooshes. A matching sole and woven tongue label add the finishing touches.,$195.00 ,$188.00 ,2021-06-29,https://stockx.com/nike-dunk-high-game-royal
Jordan 1 Retro AJKO Ghost Green/Ghost Green,Jordan,sneakers,['Ghost Green/Ghost Green'],"Jordan teamed up with pop icon Billie Eilish to release two signature Air Jordan Retro silhouettes in the fall of 2021. The first of the two, the women's Air Jordan 1 AJKO Billie Eilish Ghost Green (W), draws a resemblance to one of Eilish's most well-known hairstyles and motifs.",$276.00 ,$276.00 ,2021-09-30,https://stockx.com/air-jordan-1-retro-ajko-billie-eilish-ghost-green-w
Nike Dunk Low Yellow Strike/Yellow Strike-White,Nike,sneakers,['Yellow Strike/Yellow Strike-White'],The women's Nike Dunk Low Yellow Strike (W) features a white leather upper with pale yellow blotted overlays and plush Yellow Strike suede Swooshes. Matching two-tone soles and woven tongue labels carry this pastel palette across the finish line.,$150.00 ,$149.00 ,2021-08-18,https://stockx.com/nike-dunk-low-yellow-strike-w
Jordan 1 Retro AJKO Storm Blue/White-Black,Jordan,sneakers,['Storm Blue/White-Black'],"In a traditional AJKO canvas fabrication, the Air Jordan 1 KO Storm Blue features a white upper with Storm Blue overlays and black Swooshes. From there, a matching woven Nike Air tongue label and sole completes the retro design.",$186.00 ,$186.00 ,2021-09-29,https://stockx.com/air-jordan-1-retro-ko-high-storm-blue
Nike Dunk Low White/Green Glow-White,Nike,sneakers,['White/Green Glow-White'],"After releasing the Nike Dunk Low Orange Pearl (W) and Nike Dunk Low College Navy (W) in the spring of 2021, Nike delivered yet another women’s exclusive Dunk Low this season with the Nike Dunk Low Green Glow (W). While the Green Glow is the first of its kind, its usage of traditional Dunk color blocking adds a familiarity to the design.",$198.00 ,$348.00 ,2021-04-16,https://stockx.com/nike-dunk-low-green-glow-w
adidas Yeezy Boost 700 Wash Orange/Wash Orange/Wash Orange,adidas,sneakers,['Wash Orange/Wash Orange/Wash Orange'],"The adidas Yeezy Boost 700 Wash Orange features a grey leather, suede, and mesh upper with teal panels and reflective underlays. At the base, a thick Wash Orange Boost midsole contrasts cool tones found in the upper.",$254.00 ,$254.00 ,2021-10-16,https://stockx.com/adidas-yeezy-boost-700-wash-orange
Jordan 12 Retro White/Black-University Red,Jordan,sneakers,['White/Black-University Red'],"The Air Jordan 12 Twist features a white tumbled leather paneled upper with a pebbled leather mudguard. From there, red metallic Jumpman side tabs and eyelets, black woven heel tabs, and a sculptural sole completes the design.",$297.00 ,$297.00 ,2021-07-24,https://stockx.com/air-jordan-12-retro-twist
Nike LD Waffle SF Blue Void/White-Obsidian-White,Nike,sneakers,['Blue Void/White-Obsidian-White'],"The Nike LDWaffle sacai Fragment Blue Void combines the best of both sacai and Fragment's aesthetics. The mesh, leather, and suede construction of the LDWaffle represents sacai's experimental outlook, while the black and Blue Void palette is more reserved, similar to the utilitarian look that many of Fragment's collaborations have.",$272.00 ,$306.00 ,2021-08-27,https://stockx.com/nike-ld-waffle-sf-sacai-fragment-grey-blue-void
Jordan 1 Retro High OG Seafoam/Healing Orange-White,Jordan,sneakers,['Seafoam/Healing Orange-White'],"The women's Air Jordan 1 High Seafoam (W) arrives in a smooth white leather construction with Seafoam Durabuck overlays and Swooshes. On the laces, crisp bronze trimming stands out against the design's subtle coloration.",$249.00 ,$249.00 ,2021-08-12,https://stockx.com/air-jordan-1-high-og-seafoam-w
Nike LD Waffle Net/Orange Blaze-Deep Red-Green Bean,Nike,sneakers,['Net/Orange Blaze-Deep Red-Green Bean'],"Taking cues from the Nike Air Max 1 CLOT Kiss of Death, the Nike LDWaffle sacai CLOT Orange Blaze boasts an off-white translucent and suede upper with Deep Red and Orange Blaze snake-textured Swooshes. From there, a two-toned stacked sole and doubled tongue amplify sacai's unique design aesthetic.",$206.00 ,$206.00 ,2021-09-14,https://stockx.com/nike-ldwaffle-clot-sacai-net-orange-blaze
adidas Yeezy Boost 700 MNVN Blue Tint/Black,adidas,sneakers,['Blue Tint/Black'],The adidas Yeezy Boost 700 MNVN Blue Tint features a Blue Tint nylon upper with reflective graphics and details throughout the design. A thick black Boost sole and tongue adds the finishing touches to the hiking-inspired design.,$254.00 ,$254.00 ,2021-07-05,https://stockx.com/adidas-yeezy-boost-700-mnvn-blue-tint
Nike Dunk Low Midnight Navy/Championship Grey-White,Nike,sneakers,['Midnight Navy/Championship Grey-White'],"The Nike Dunk Low Georgetown arrives with a smooth grey leather upper with Midnight Navy overlays and Swooshes. From there, matching woven Nike Air tongue tags, heel tabs, and Air soles complete the retro design.",$285.00 ,$285.00 ,2021-11-05,https://stockx.com/nike-dunk-low-georgetown
adidas Yeezy Slide Pure/Pure/Pure,adidas,sneakers,['Pure/Pure/Pure'],DISCLAIMER: US and UK sizing is the same and does not require any conversion.,$212.00 ,$212.00 ,2021-04-26,https://stockx.com/adidas-yeezy-slide-pure
adidas Yeezy Foam RNNR Vermillion/Vermillion/Vermillion,adidas,sneakers,['Vermillion/Vermillion/Vermillion'],"The adidas Yeezy Foam RNNR Vermillion features an all-red one piece EVA foam construction with oval cut-outs to provide ventilation. At the base, a cushioned footbed offers support and stability.",$199.00 ,$366.00 ,2021-10-29,https://stockx.com/adidas-yeezy-foam-rnnr-vermillion
Jordan 4 Retro University Blue/Tech Grey-White-Black,Jordan,sneakers,['University Blue/Tech Grey-White-Black'],Jordan Brand paid homage to MJ’s alma mater with the Air Jordan 4 University Blue. The University Blue colorway draws a close resemblance to the extremely rare Air Jordan 4 UNC PE that was given to Tarheel student-athletes in 2019.,$456.00 ,$456.00 ,2021-04-28,https://stockx.com/air-jordan-4-retro-university-blue
adidas Yeezy 500 Clay Brown/Clay Brown/Clay Brown,adidas,sneakers,['Clay Brown/Clay Brown/Clay Brown'],The adidas Yeezy 500 Clay Brown presents an array of materials commonly found in hiking shoes designed to withstand the great outdoors. It is constructed of a Clay Brown mesh upper with leather and suede overlays that wrap the silhouette. A sturdy adiPRENE sole adds a responsive feel to the trail-ready design.,$230.00 ,$249.00 ,2021-09-18,https://stockx.com/adidas-yeezy-500-clay-brown
Jordan 12 Retro Black/Black-Bright Crimson-White,Jordan,sneakers,['Black/Black-Bright Crimson-White'],"With black leather and Durabuck paneled construction, the upper of the Air Jordan 12 Utility sets the stage for its glittery sole to shine. The sole is composed of Nike Grind, a material made of a collection of recycled materials originating from leftover Nike manufacturing materials.",$221.00 ,$238.00 ,2021-08-21,https://stockx.com/air-jordan-12-retro-utility
Jordan 6 Retro Black/Light Graphite-Dark Grey-Bordeaux,Jordan,sneakers,['Black/Light Graphite-Dark Grey-Bordeaux'],"The Air Jordan 6 Bordeaux features a two-tone black and grey Durabuck upper just like the original Jordan 7 Bordeaux. From there, the signature Bordeaux geometric pattern is prominent on the inner-facing tongue and sock liner. Jumpman embroidery on the heel and a semi-translucent outsole complete the retro look.",$220.00 ,$220.00 ,2021-09-04,https://stockx.com/air-jordan-6-retro-bordeaux
